,gender,age,sign
4241607,female,44,Virgo
3999305,male,16,Aries
4042540,male,23,Pisces
3891408,female,16,Libra
4058299,female,27,Libra
3064468,female,24,Libra
4236981,female,25,Libra
4118493,male,27,Leo
3214154,male,27,Capricorn
3903794,male,34,Cancer
4254048,female,15,Libra
3425354,female,15,Capricorn
4046710,male,38,Aquarius
3552289,male,24,Aries
3076129,female,15,Gemini
3776060,male,16,Capricorn
3616080,female,17,Aquarius
3519860,female,16,Virgo
1610148,male,42,Leo
3755083,female,14,Aries
2661577,male,23,Libra
4220141,female,15,Leo
3699620,male,33,Taurus
4194991,female,23,Scorpio
3720675,female,14,Scorpio
3603215,female,26,Aquarius
4055477,male,16,Taurus
3368846,female,15,Taurus
3779837,female,23,Gemini
3990840,female,23,Gemini
3890062,female,17,Aquarius
3636531,male,14,Capricorn
3548565,female,13,Virgo
3343564,female,26,Virgo
1804032,female,17,Libra
4146839,female,27,Virgo
3430461,male,16,Aquarius
3936941,male,26,Aquarius
3723184,female,16,Virgo
2512012,male,25,Gemini
3468363,female,26,Sagittarius
2872814,female,17,Aries
2978796,female,15,Taurus
3647437,male,24,Scorpio
4151538,female,27,Leo
3504728,female,25,Pisces
4278190,female,17,Sagittarius
2068174,male,27,Aquarius
4208772,female,25,Aquarius
4146500,male,24,Scorpio
1826527,male,25,Cancer
3833605,male,26,Taurus
3056948,female,16,Gemini
3711841,male,16,Libra
3705898,female,26,Gemini
3731602,male,26,Sagittarius
3464952,female,25,Leo
4187044,male,47,Pisces
1216517,male,24,Leo
2862307,male,17,Aries
3477611,male,17,Cancer
3440616,male,36,Cancer
4041140,male,14,Taurus
4043764,female,26,Virgo
4178646,male,16,Capricorn
3947901,female,15,Pisces
3145132,female,26,Virgo
4227061,female,13,Libra
3786761,female,25,Capricorn
3586335,female,15,Capricorn
4076523,female,14,Scorpio
3393040,male,26,Libra
3868517,female,14,Pisces
3378151,female,23,Taurus
2244144,male,17,Scorpio
917508,male,23,Pisces
3443753,male,35,Leo
4265390,female,25,Taurus
2640341,female,26,Scorpio
3733952,female,15,Cancer
3620473,male,17,Cancer
1934543,female,17,Leo
1886523,male,26,Leo
3421849,female,25,Virgo
3590217,male,35,Scorpio
3838808,male,16,Sagittarius
3733539,male,15,Taurus
4257604,male,14,Aries
4069021,male,25,Sagittarius
3875132,female,14,Taurus
3920759,male,17,Taurus
4152275,female,17,Sagittarius
3329942,male,25,Taurus
3408339,female,13,Libra
3900972,male,17,Cancer
4317846,female,36,Leo
3870952,male,17,Sagittarius
2258198,male,25,Gemini
2855866,male,26,Leo
4297565,male,36,Leo
3877267,male,13,Capricorn
4037871,female,34,Capricorn
3600740,female,14,Capricorn
4301048,female,47,Scorpio
3445478,female,23,Leo
3792875,female,14,Virgo
3840565,male,46,Cancer
4102083,female,15,Leo
4016367,male,35,Aquarius
4064467,male,24,Gemini
4020014,male,16,Leo
3781823,female,24,Taurus
1380515,male,40,Aquarius
4175733,male,16,Taurus
3599466,male,25,Taurus
3866049,female,25,Gemini
4171607,male,41,Capricorn
1886224,male,16,Virgo
3031573,male,34,Aquarius
4150911,female,17,Scorpio
4310608,female,23,Gemini
4196854,female,41,Scorpio
3847879,male,17,Scorpio
3667476,male,17,Taurus
4258370,female,35,Sagittarius
3307703,female,17,Pisces
4112591,male,27,Libra
3492762,male,25,Gemini
4225685,male,25,Libra
3808374,female,26,Libra
4175264,female,14,Aries
3971148,female,27,Leo
3983114,male,27,Libra
4117248,female,16,Pisces
3655212,female,26,Aries
3575065,male,23,Cancer
2838193,female,26,Scorpio
3594592,female,24,Cancer
3298249,male,36,Scorpio
3465939,male,23,Taurus
4238493,male,15,Leo
3972484,male,16,Leo
1668490,female,26,Gemini
1056232,female,17,Aquarius
3502149,male,25,Aries
3238696,female,13,Pisces
3321956,male,15,Pisces
3793561,female,17,Aquarius
3634489,female,26,Cancer
3938722,male,14,Taurus
4142623,female,23,Cancer
4039315,female,34,Cancer
4238006,male,16,Sagittarius
2222697,male,13,Gemini
1498597,male,17,Pisces
3155970,female,24,Sagittarius
3918862,male,16,Aquarius
3769543,male,13,Capricorn
3526005,female,17,Leo
3324608,male,26,Cancer
3863105,male,15,Libra
4159699,female,14,Taurus
3418497,male,27,Sagittarius
4163493,female,14,Leo
3933086,female,24,Taurus
4116431,female,23,Sagittarius
937962,female,17,Aquarius
4220106,male,26,Aquarius
3355288,male,16,Capricorn
2324198,male,24,Scorpio
953390,male,16,Pisces
3332322,female,15,Cancer
3597931,female,15,Leo
4107980,male,24,Virgo
3478335,female,26,Taurus
3179008,male,35,Pisces
2203681,female,27,Aries
2669117,female,14,Virgo
3343013,female,45,Leo
3964706,female,42,Scorpio
3989994,male,15,Aquarius
4228018,male,23,Cancer
3921381,female,27,Cancer
2366391,female,25,Libra
3554560,male,24,Sagittarius
4075287,male,15,Sagittarius
1450960,female,24,Pisces
4142167,male,17,Aries
3771679,male,43,Aries
3733762,female,27,Scorpio
3448971,female,15,Cancer
4324808,male,34,Taurus
2935226,female,26,Gemini
3744366,female,13,Taurus
3397935,female,27,Aries
3457040,male,23,Libra
3830235,male,34,Virgo
3784412,male,38,Aries
1330002,male,13,Sagittarius
3745221,female,17,Aries
3944260,female,17,Leo
3855340,female,24,Leo
4053688,female,17,Aquarius
3736226,female,25,Sagittarius
3977191,male,15,Virgo
3371386,male,17,Pisces
3986202,female,14,Scorpio
4023489,female,25,Taurus
3967054,male,15,Cancer
3908064,female,27,Capricorn
4232683,male,25,Pisces
1977140,female,16,Leo
3817441,female,38,Libra
4040124,male,17,Taurus
3992832,female,24,Scorpio
4256852,male,16,Cancer
4011067,female,14,Libra
3483536,female,23,Scorpio
3293157,male,24,Virgo
3962639,female,25,Taurus
3640697,female,13,Libra
4055245,female,25,Aries
1993332,female,26,Leo
3424903,female,15,Aries
3620149,male,17,Aquarius
3416492,female,14,Aries
4260314,female,26,Gemini
4162841,male,48,Taurus
4163557,male,23,Pisces
3750214,male,17,Libra
3645879,male,17,Gemini
3828449,female,23,Scorpio
4199201,female,17,Pisces
3373711,female,37,Aquarius
4178303,female,15,Capricorn
3504166,male,27,Leo
2848900,female,23,Leo
3818287,male,17,Sagittarius
3527784,female,40,Cancer
3707272,male,16,Libra
3770145,male,14,Taurus
3947344,male,16,Taurus
3492272,female,13,Scorpio
3568732,male,15,Scorpio
3921183,male,17,Scorpio
4159304,female,15,Gemini
2966998,female,25,Taurus
4300465,male,24,Libra
1605658,female,23,Scorpio
3382644,male,34,Taurus
4172685,male,17,Sagittarius
3954641,female,14,Libra
3569973,female,16,Aries
4163762,male,15,Libra
3549403,female,13,Virgo
4047082,female,23,Sagittarius
3185680,male,15,Aries
2925413,female,26,Cancer
3938391,female,24,Pisces
3730940,male,24,Libra
3870403,female,17,Libra
4019072,female,24,Taurus
3417156,male,14,Libra
2574746,female,24,Pisces
4057422,female,17,Aquarius
3616610,female,14,Taurus
3696746,female,44,Aries
1862467,female,27,Cancer
3891769,female,24,Cancer
4150492,female,24,Pisces
1816386,male,16,Cancer
4024667,female,15,Pisces
3975895,female,15,Aquarius
1390302,female,26,Leo
4174426,male,16,Pisces
4011205,female,34,Libra
1404301,female,24,Libra
3414470,male,24,Aries
3438348,female,37,Capricorn
3901857,female,24,Aries
3423212,female,25,Pisces
3604256,female,27,Sagittarius
882573,female,23,Virgo
665146,male,15,Taurus
3831595,female,24,Pisces
3718299,male,17,Capricorn
4176084,female,14,Capricorn
3362837,female,13,Taurus
3466588,female,16,Virgo
3782048,male,16,Aquarius
3908335,male,15,Leo
3622950,male,16,Libra
3416053,male,35,Virgo
4199221,female,13,Taurus
3328534,female,17,Cancer
3188731,male,27,Leo
3771338,male,27,Leo
3488850,female,17,Libra
3693089,male,24,Cancer
3988829,male,13,Sagittarius
4251929,female,34,Taurus
3437342,male,23,Pisces
3416026,female,26,Libra
1355143,male,23,Gemini
3532480,male,36,Aquarius
3592122,female,16,Gemini
4028292,male,14,Capricorn
23166,female,25,Virgo
3552800,male,14,Leo
1502896,female,25,Pisces
3867647,male,15,Aquarius
4049704,male,27,Libra
3802396,male,24,Sagittarius
3872536,male,17,Gemini
3679664,male,27,Sagittarius
3912434,male,24,Sagittarius
1624111,female,16,Aries
3479827,male,24,Pisces
3739942,female,15,Libra
4237090,male,14,Capricorn
4261346,male,47,Taurus
2637805,male,42,Virgo
3733849,female,17,Pisces
3611606,male,40,Gemini
3464820,female,15,Aquarius
3525963,female,38,Pisces
3544112,female,23,Libra
3314364,male,14,Aries
3353979,male,15,Sagittarius
1782898,female,17,Gemini
3528323,female,14,Libra
3893956,female,14,Sagittarius
2718362,female,37,Aries
3051503,male,27,Libra
3372139,female,14,Scorpio
3894427,female,17,Leo
4028694,female,15,Scorpio
671748,male,27,Aries
2084105,male,27,Aquarius
3534011,male,17,Aries
1295671,female,26,Virgo
3609061,female,41,Pisces
3598621,female,23,Gemini
3754995,male,38,Virgo
1697193,male,23,Pisces
3498717,female,14,Capricorn
3882992,female,14,Pisces
3414881,female,25,Leo
3433078,male,15,Libra
1255893,male,14,Leo
3949113,female,14,Libra
3630174,female,25,Sagittarius
3575606,female,24,Taurus
2952293,female,17,Virgo
3671186,female,17,Virgo
3865498,female,16,Leo
3369531,male,27,Pisces
2839300,male,45,Pisces
3470844,female,26,Libra
4292814,male,26,Pisces
3851385,female,23,Aquarius
3828121,female,16,Leo
3691760,male,27,Scorpio
3353802,male,23,Gemini
4173669,male,37,Taurus
3682836,female,16,Sagittarius
3724204,female,15,Scorpio
3933041,male,27,Cancer
3533324,female,23,Libra
3841566,male,16,Gemini
3695734,female,25,Capricorn
4008208,female,16,Pisces
3700596,male,43,Leo
4186203,female,16,Virgo
3405975,female,14,Pisces
4043341,female,33,Pisces
4286990,female,13,Sagittarius
3893179,male,14,Leo
4034718,male,23,Libra
3804152,female,16,Sagittarius
3556034,male,17,Leo
4037456,female,15,Cancer
4223188,female,14,Taurus
4230021,female,33,Taurus
3051791,male,33,Aquarius
4330333,male,17,Libra
3890564,male,16,Aries
2556229,male,41,Capricorn
1668565,male,40,Aries
1878761,female,24,Aquarius
4119797,female,15,Aries
3176774,male,37,Aries
4239549,female,36,Cancer
3533965,male,23,Virgo
3668815,male,15,Sagittarius
3894327,female,17,Aries
3297606,male,17,Aries
3632278,female,25,Scorpio
3583746,female,17,Leo
3718137,female,24,Virgo
3402793,male,15,Aquarius
3651621,male,44,Aries
4157580,female,16,Sagittarius
3704203,male,23,Libra
3978972,male,17,Libra
3665975,male,24,Gemini
3520924,male,37,Sagittarius
2920432,female,13,Virgo
3287752,male,39,Aries
3335319,female,24,Scorpio
3433952,female,17,Aquarius
95161,male,39,Capricorn
4322781,female,26,Taurus
3450423,female,17,Gemini
4292946,male,33,Taurus
3474606,female,26,Scorpio
3923619,female,24,Aries
3981701,male,25,Aquarius
1627914,female,38,Scorpio
4306874,male,23,Libra
3853667,male,23,Capricorn
3519830,male,16,Aries
4167160,male,27,Taurus
3709434,female,15,Capricorn
91888,male,36,Scorpio
1951423,female,24,Scorpio
3339284,female,17,Gemini
2309651,male,24,Taurus
3571998,female,15,Sagittarius
3950835,female,15,Aquarius
823780,male,17,Scorpio
944615,female,23,Pisces
3526380,male,42,Taurus
2988233,female,35,Virgo
1432406,female,16,Gemini
3291491,female,23,Cancer
687054,male,23,Capricorn
3679230,female,27,Aries
1472995,female,27,Aries
3479785,male,23,Pisces
4109890,female,17,Sagittarius
3135588,male,16,Sagittarius
3316602,male,16,Sagittarius
3991185,male,14,Scorpio
3963786,male,15,Gemini
3764629,male,23,Capricorn
3332940,female,24,Virgo
3850816,female,23,Cancer
3622707,female,15,Cancer
4262316,female,14,Libra
4199963,male,14,Pisces
4034218,female,16,Taurus
3181157,male,24,Scorpio
3484215,male,23,Pisces
3754483,male,24,Gemini
3926121,male,25,Leo
3559330,female,15,Cancer
3083205,male,26,Capricorn
3487978,female,13,Taurus
3554601,female,14,Sagittarius
3008482,female,14,Sagittarius
3908283,male,23,Leo
3609574,male,33,Cancer
3409374,female,15,Aries
4292487,male,26,Pisces
554936,male,34,Aries
3609016,female,25,Sagittarius
3876255,male,16,Aries
4061927,female,23,Scorpio
3848841,female,27,Libra
3403180,female,40,Scorpio
3929338,male,23,Capricorn
1859920,male,26,Cancer
3292594,male,27,Gemini
3998316,male,15,Libra
4203162,female,16,Gemini
4070641,male,14,Aquarius
4168945,female,17,Pisces
4325188,male,15,Cancer
4017087,female,17,Cancer
4116628,female,16,Libra
3900320,male,25,Gemini
3910298,male,34,Aries
559080,female,39,Sagittarius
4079649,female,16,Libra
3411419,female,17,Scorpio
4104462,female,25,Leo
4203281,male,27,Gemini
4047605,male,15,Scorpio
1906838,female,24,Aries
3596051,male,24,Pisces
1786977,male,26,Cancer
4317441,male,26,Sagittarius
3956492,male,17,Scorpio
216553,male,23,Capricorn
3354778,male,17,Pisces
3632425,female,40,Leo
3809752,male,23,Aries
113390,male,24,Gemini
3536714,female,25,Capricorn
870139,female,24,Gemini
1091574,female,15,Taurus
3735105,female,16,Sagittarius
132808,male,24,Gemini
1697732,male,36,Aries
1709540,female,25,Aquarius
4082563,female,14,Scorpio
3457056,female,34,Pisces
3122963,female,14,Virgo
3948537,female,35,Cancer
567431,female,23,Leo
1603874,male,41,Scorpio
3774367,male,33,Pisces
3749228,male,13,Taurus
2878135,female,26,Scorpio
3865520,male,35,Cancer
3932798,male,23,Cancer
3872221,male,23,Taurus
2048841,female,26,Libra
2048955,female,33,Libra
2554974,male,16,Sagittarius
3662662,female,41,Libra
3405693,male,36,Capricorn
4182710,male,24,Scorpio
4092499,male,13,Capricorn
3976083,female,27,Sagittarius
3375100,female,24,Leo
3983577,male,24,Libra
2562113,male,17,Virgo
3990089,female,17,Sagittarius
3935742,female,13,Libra
3732775,female,16,Capricorn
3417250,female,40,Capricorn
3592669,male,17,Virgo
4108651,female,44,Capricorn
3650438,female,23,Gemini
2109397,male,15,Libra
78196,female,35,Aries
3937181,female,24,Sagittarius
4046846,female,33,Sagittarius
3723402,female,15,Capricorn
3432826,male,14,Capricorn
3922820,female,39,Libra
189575,female,23,Libra
3165620,female,26,Gemini
4271479,female,26,Virgo
4211471,male,13,Scorpio
3026701,female,23,Aquarius
3644503,female,24,Scorpio
3902103,male,17,Cancer
3535619,female,42,Libra
3950705,male,15,Libra
3615515,male,23,Aquarius
3582079,male,16,Sagittarius
4064530,female,14,Capricorn
4257429,male,17,Pisces
4248276,female,33,Aries
3351963,female,24,Cancer
4198435,female,46,Pisces
1837059,female,17,Aquarius
4004340,female,25,Cancer
3866526,male,26,Aquarius
1956477,female,25,Libra
3843921,male,15,Libra
3670918,female,13,Sagittarius
4253449,male,37,Capricorn
890200,female,16,Sagittarius
3588721,male,43,Capricorn
2839449,female,26,Aries
4162962,male,15,Gemini
3470662,male,16,Capricorn
3880346,male,14,Virgo
4023297,male,25,Scorpio
3549714,female,24,Virgo
2333689,male,26,Gemini
3944092,male,26,Capricorn
2958390,male,25,Capricorn
3494049,female,17,Capricorn
4330772,female,13,Libra
4312505,female,27,Gemini
3374765,male,26,Capricorn
4116570,female,40,Scorpio
3473709,male,25,Pisces
3414387,female,25,Leo
4289860,female,16,Libra
2673530,male,33,Aries
4230424,male,13,Libra
4165198,female,25,Sagittarius
3806545,female,16,Libra
3982778,female,17,Cancer
3530568,male,17,Aquarius
3766094,male,16,Sagittarius
3990524,male,13,Scorpio
4031469,male,25,Aries
3361373,male,16,Aquarius
2578102,female,15,Capricorn
3380702,male,16,Libra
3683266,male,16,Aquarius
1149422,female,34,Scorpio
4200786,male,13,Capricorn
920212,female,23,Cancer
1555267,male,35,Aquarius
3462845,female,24,Pisces
1388402,female,15,Capricorn
3919788,female,36,Virgo
3344664,male,26,Libra
3423558,male,15,Leo
1274852,female,27,Pisces
3602510,female,14,Libra
1266843,female,24,Pisces
2637828,male,16,Virgo
725171,male,41,Taurus
3446662,male,23,Cancer
3670157,male,17,Sagittarius
3647284,male,48,Leo
4102743,female,14,Cancer
4187230,male,27,Sagittarius
3611552,male,16,Scorpio
3686184,male,26,Virgo
3710330,male,15,Sagittarius
3956967,female,17,Taurus
3941752,male,17,Scorpio
3404376,male,17,Sagittarius
4238678,female,13,Pisces
4152449,male,17,Scorpio
3421335,female,15,Scorpio
2922061,male,44,Leo
3442772,male,33,Virgo
3959250,male,24,Pisces
4146827,female,17,Aries
4246116,female,17,Virgo
3984756,female,27,Leo
3840957,female,23,Aquarius
3771487,male,25,Pisces
4130912,female,23,Libra
3865456,male,24,Virgo
3619199,female,14,Capricorn
3543879,male,43,Cancer
4101092,male,15,Aries
3351130,female,23,Virgo
3726982,female,27,Capricorn
3354200,male,40,Virgo
4219142,male,25,Leo
3749229,female,37,Cancer
3315638,male,14,Sagittarius
4072991,female,14,Leo
4179107,female,27,Scorpio
815748,male,16,Leo
4110717,male,23,Leo
3092694,male,25,Leo
3787901,female,17,Sagittarius
4156027,male,26,Sagittarius
4209382,male,40,Taurus
3956337,male,23,Virgo
3588312,male,16,Capricorn
3889807,female,24,Aquarius
3717838,female,25,Cancer
3671500,female,27,Capricorn
3102104,male,33,Libra
4179294,female,27,Cancer
3980805,female,14,Taurus
1616269,male,26,Gemini
4275806,male,25,Leo
3687061,male,38,Scorpio
3942522,male,16,Scorpio
3652914,female,15,Gemini
3701743,male,17,Virgo
2324980,male,17,Scorpio
3455888,female,25,Aries
3433402,female,16,Aries
3995290,female,27,Capricorn
3931298,female,17,Leo
3964350,male,27,Aquarius
3939327,female,17,Capricorn
4163848,male,14,Sagittarius
4134786,male,15,Aries
2453143,male,24,Aries
4160496,male,13,Aries
4252128,male,26,Pisces
3706043,female,17,Libra
3824884,male,23,Aries
2979384,female,24,Aries
3824610,male,16,Aries
3936794,female,26,Leo
3963763,male,36,Sagittarius
3563331,female,17,Aries
896120,female,24,Capricorn
3511421,female,17,Taurus
3761842,female,41,Cancer
3969465,female,24,Virgo
3839660,male,33,Gemini
4257695,female,25,Leo
3381497,male,17,Capricorn
3898660,female,17,Gemini
4260069,female,17,Scorpio
3995572,female,15,Gemini
3348569,female,17,Libra
4154110,female,14,Scorpio
3508871,female,23,Aquarius
3500209,female,13,Aquarius
4219031,female,26,Scorpio
2917451,male,17,Pisces
3871343,female,23,Capricorn
3994798,female,17,Cancer
3473164,female,25,Pisces
4188530,female,14,Scorpio
3908605,male,25,Scorpio
1325807,female,25,Pisces
3925491,female,17,Aries
2104957,female,25,Pisces
3381418,male,16,Sagittarius
3858296,male,16,Aries
3990797,male,23,Scorpio
3528641,male,16,Pisces
3925061,female,33,Aries
3659072,male,45,Aquarius
640484,female,27,Gemini
2245930,male,14,Aquarius
4104963,male,13,Capricorn
3918229,male,37,Gemini
4286279,female,26,Scorpio
4092358,male,24,Pisces
1788812,male,25,Taurus
3751918,male,34,Capricorn
3727220,male,16,Virgo
3770185,female,15,Scorpio
3676739,male,27,Sagittarius
3365937,female,27,Capricorn
3307716,male,17,Sagittarius
4092613,male,16,Aries
4067399,female,23,Leo
2971053,male,17,Capricorn
3828570,male,26,Virgo
4244108,male,23,Leo
4288137,male,42,Taurus
3901147,male,27,Pisces
2681786,female,36,Pisces
4164831,male,15,Aquarius
3136742,male,17,Libra
3433722,female,26,Leo
3374463,male,34,Aquarius
3458787,female,17,Libra
735648,male,27,Scorpio
3532736,male,15,Gemini
3629751,male,17,Capricorn
3559475,female,38,Leo
3685862,female,14,Leo
4308045,female,23,Scorpio
3389978,male,23,Libra
3599480,female,41,Aries
3299998,male,41,Virgo
4069939,female,24,Aquarius
3749843,male,16,Cancer
4109993,female,14,Aries
3968640,male,25,Capricorn
3584513,male,14,Scorpio
3369388,male,16,Scorpio
2666503,male,27,Capricorn
3101995,female,16,Aries
4251580,female,33,Scorpio
4172394,female,16,Sagittarius
3826749,male,17,Leo
3875271,female,36,Capricorn
1169202,male,26,Libra
2016512,female,17,Taurus
3613272,male,17,Libra
3373089,female,24,Capricorn
2177534,female,15,Sagittarius
3064813,female,16,Cancer
3442455,male,26,Sagittarius
3669994,female,27,Aquarius
3367818,female,25,Capricorn
4126520,female,15,Capricorn
4291467,male,33,Cancer
3446852,female,24,Leo
3770150,female,27,Capricorn
3877081,female,23,Aries
4276295,male,25,Capricorn
3771933,male,27,Sagittarius
4107460,male,17,Pisces
96600,female,27,Virgo
3912378,female,25,Aquarius
4279961,male,26,Aquarius
913315,male,25,Aquarius
3574491,male,16,Sagittarius
3362195,female,15,Virgo
3010018,male,23,Sagittarius
3430616,female,24,Aquarius
1359229,male,17,Taurus
3395398,male,17,Virgo
3675630,female,24,Gemini
3530960,male,17,Libra
2851000,male,25,Aries
3669958,male,24,Scorpio
3865545,female,27,Sagittarius
3453226,male,15,Taurus
3905462,male,27,Sagittarius
3718622,female,14,Pisces
3899435,male,26,Capricorn
3616582,male,24,Aries
3585927,male,23,Gemini
2016722,male,16,Capricorn
4045395,male,26,Virgo
4297420,female,13,Taurus
4289870,female,14,Gemini
2008076,female,33,Virgo
4061988,female,14,Scorpio
970774,male,25,Taurus
3715520,female,14,Libra
3984743,male,14,Virgo
3572995,male,15,Libra
1776600,female,24,Gemini
3811687,female,27,Gemini
3421075,male,23,Cancer
3677671,female,24,Pisces
3526924,male,16,Aries
1771307,male,15,Pisces
2507964,female,13,Scorpio
3962512,male,16,Pisces
4195300,female,23,Pisces
4171648,male,17,Sagittarius
3850515,male,26,Scorpio
3639697,male,24,Taurus
1769576,male,26,Aquarius
1703228,female,13,Leo
3752150,female,17,Taurus
2236621,male,26,Pisces
3785626,female,15,Taurus
3798708,female,25,Aries
3598939,female,38,Aquarius
3294600,male,24,Scorpio
3338497,female,15,Sagittarius
2216472,female,23,Aries
1065973,female,23,Virgo
3810369,female,24,Leo
1931969,male,35,Aquarius
3147005,male,34,Gemini
4194040,male,17,Libra
3533366,female,15,Sagittarius
3517434,male,42,Gemini
2061457,male,26,Taurus
3688875,female,34,Leo
3502783,female,25,Cancer
3532456,female,14,Scorpio
3115623,male,23,Virgo
3623899,female,15,Leo
589895,female,24,Aries
3569294,female,43,Gemini
3613005,male,15,Gemini
3974333,male,15,Capricorn
3545137,male,27,Libra
3739043,female,34,Cancer
3676006,female,24,Virgo
2843565,male,23,Gemini
2885133,female,17,Leo
3867461,female,23,Capricorn
4105999,female,15,Taurus
3592107,female,48,Taurus
4274136,male,15,Sagittarius
1423400,male,17,Virgo
4008245,female,25,Taurus
2942571,male,13,Aries
4197081,female,13,Pisces
4045197,female,17,Gemini
3365015,male,16,Leo
3752243,female,15,Libra
4281338,female,33,Pisces
3654429,male,25,Leo
3679261,female,15,Libra
2001162,male,24,Capricorn
3452571,male,26,Leo
4275283,female,23,Leo
3512569,female,14,Virgo
2967519,female,17,Gemini
4206291,female,14,Scorpio
4253269,male,24,Aquarius
2466439,female,33,Aries
3886275,female,14,Libra
3374420,male,25,Sagittarius
3413971,male,26,Scorpio
3858813,male,17,Sagittarius
3601410,female,39,Capricorn
3106187,female,23,Virgo
3463514,male,36,Sagittarius
3343227,female,23,Gemini
3992550,female,23,Capricorn
4060567,female,23,Taurus
3772005,male,23,Pisces
4134278,female,24,Aries
2643277,male,37,Virgo
3167252,male,14,Virgo
3695458,female,13,Virgo
3927367,female,15,Virgo
3400091,female,23,Aquarius
4057160,female,23,Capricorn
4284947,female,16,Gemini
3409398,male,25,Virgo
3643428,female,33,Virgo
4030474,female,14,Leo
4038615,male,14,Pisces
3883233,female,13,Aquarius
4155846,female,14,Capricorn
3558382,female,40,Aquarius
3742216,male,16,Pisces
4192688,female,23,Scorpio
3157701,male,15,Leo
3666762,female,23,Scorpio
3338620,male,24,Capricorn
4140855,male,25,Taurus
4207043,female,14,Aquarius
4246259,male,13,Taurus
3731988,male,36,Libra
3412205,female,16,Cancer
3449831,male,24,Libra
3686456,female,27,Leo
3900484,female,24,Cancer
1566821,female,25,Taurus
3560946,male,16,Virgo
3770066,female,24,Taurus
2572049,male,24,Capricorn
3785380,male,16,Capricorn
4143956,female,15,Libra
3382799,female,26,Virgo
3986767,male,40,Sagittarius
4127773,female,37,Scorpio
3372537,male,17,Taurus
3537427,male,16,Leo
3375698,male,27,Taurus
3381940,female,27,Sagittarius
3397356,male,26,Aries
3945233,female,13,Sagittarius
3844354,male,14,Virgo
3117490,female,27,Virgo
3487157,female,16,Virgo
1465987,female,33,Aquarius
3336933,male,48,Scorpio
3477597,male,27,Leo
3816821,female,23,Leo
3655966,male,13,Sagittarius
4049195,male,17,Scorpio
4139635,male,23,Capricorn
2482089,female,33,Cancer
3768749,female,16,Aries
3904761,male,24,Aries
786829,female,16,Leo
3698710,male,24,Aquarius
3396561,female,26,Cancer
4301678,male,24,Capricorn
3513784,female,23,Aquarius
3365274,male,24,Virgo
4080749,male,15,Gemini
463180,male,24,Taurus
3354319,female,15,Cancer
4217848,male,13,Aries
2994443,female,26,Taurus
4100534,female,23,Aquarius
1835882,female,17,Gemini
3617633,female,25,Capricorn
2858203,male,16,Sagittarius
4158433,female,16,Sagittarius
3343978,female,15,Virgo
2898376,male,16,Libra
2349612,female,23,Cancer
3936125,male,39,Cancer
3364110,female,15,Taurus
892173,female,14,Libra
3679449,male,25,Scorpio
4044908,female,42,Gemini
1246193,male,17,Gemini
2257775,female,23,Libra
3373026,female,25,Taurus
4304568,male,23,Pisces
3597141,female,25,Aquarius
3812259,female,34,Gemini
4144609,male,17,Taurus
4257462,female,17,Sagittarius
3881287,female,37,Gemini
3808854,female,44,Cancer
3366968,male,23,Taurus
4121411,male,25,Scorpio
3421369,male,14,Cancer
3527292,female,34,Leo
4130723,male,17,Scorpio
3566016,female,24,Gemini
3568492,male,40,Capricorn
2734125,female,23,Gemini
971317,female,24,Aquarius
2530499,male,15,Aries
4015334,female,23,Taurus
3478771,male,14,Aquarius
3639620,male,26,Pisces
3358494,female,24,Libra
4201475,male,14,Sagittarius
4017537,female,15,Virgo
3964789,female,26,Taurus
3731869,female,25,Taurus
3131925,female,16,Pisces
3752665,female,24,Pisces
3947389,male,35,Taurus
3954661,female,27,Aquarius
4087513,female,36,Aquarius
1474169,male,23,Gemini
3430746,male,33,Leo
3314917,female,14,Scorpio
3832724,female,16,Sagittarius
3301016,female,34,Aries
4216474,female,26,Libra
3878828,female,23,Virgo
3886720,male,36,Libra
2033616,female,17,Virgo
4159649,male,16,Cancer
3560320,male,46,Libra
3624840,male,45,Sagittarius
3544697,female,24,Cancer
4315396,male,17,Taurus
2929309,male,23,Pisces
1770846,male,17,Cancer
3135005,male,17,Leo
3655970,male,17,Sagittarius
3689034,female,23,Taurus
1374061,male,34,Gemini
4015193,male,35,Cancer
4089465,female,27,Scorpio
3554317,male,17,Aquarius
4052886,female,13,Virgo
3771837,male,15,Sagittarius
1383289,female,14,Libra
4262141,male,25,Aries
4072298,female,13,Scorpio
3435786,male,33,Taurus
2958085,male,34,Taurus
2102685,male,24,Cancer
2653067,female,14,Aries
3959215,female,17,Aquarius
3784142,male,23,Sagittarius
3420112,female,26,Virgo
2995161,male,26,Leo
3199354,male,23,Leo
3663282,male,25,Capricorn
1997715,female,25,Virgo
4304697,male,25,Virgo
3502423,female,27,Libra
3797011,female,26,Taurus
3492157,male,36,Cancer
3948515,male,38,Virgo
3776616,female,17,Sagittarius
4269552,female,23,Virgo
3707278,female,16,Libra
3945841,male,16,Aquarius
3629551,male,35,Gemini
2931699,male,16,Capricorn
4078562,male,17,Aries
303162,female,38,Virgo
3664729,female,26,Virgo
3586844,male,35,Capricorn
3392887,female,24,Libra
3443479,male,13,Scorpio
3751895,male,16,Virgo
3995066,female,14,Scorpio
3961012,female,17,Pisces
2996288,female,26,Gemini
4069968,female,17,Taurus
3601996,male,15,Gemini
4213333,female,15,Libra
4054850,male,17,Virgo
